998 481 321
162 25 3 0
163 25 3 0
164 25 3 0
165 25 3 0
191 101 2 1
192 101 2 1
193 101 2 1
194 101 2 1
195 101 2 1
196 101 2 1
197 101 2 1
198 101 2 1
126 36 3 0
127 36 3 0
128 36 3 0
129 36 3 0
130 36 3 0
131 36 3 0
132 36 3 0
133 36 3 0
134 36 3 0
135 36 3 0
136 36 3 0
137 36 3 0
138 36 3 0
139 36 3 0
140 36 3 0
141 36 3 0
142 36 3 0
143 36 3 0
144 36 3 0
145 36 3 0
146 36 3 0
175 83 2 1
176 83 2 1
177 83 2 1
178 83 2 1
179 83 2 1
180 83 2 1
181 83 2 1
182 83 2 1
183 83 2 1
94 47 3 0
95 47 3 0
96 47 3 0
97 47 3 0
98 47 3 0
99 47 3 0
100 47 3 0
101 47 3 0
102 47 3 0
103 47 3 0
150 65 2 1
104 47 3 0
151 65 2 1
105 47 3 0
152 65 2 1
106 47 3 0
153 65 2 1
107 47 3 0
154 65 2 1
108 47 3 0
155 65 2 1
109 47 3 0
156 65 2 1
110 47 3 0
157 65 2 1
111 47 3 0
158 65 2 1
112 47 3 0
159 65 2 1
113 47 3 0
160 65 2 1
114 47 3 0
186 94 2 1
187 94 2 1
188 94 2 1
189 94 2 1
190 94 2 1
191 94 2 1
192 94 2 1
193 94 2 1
167 76 2 1
168 76 2 1
169 76 2 1
170 76 2 1
171 76 2 1
172 76 2 1
146 29 3 0
173 76 2 1
147 29 3 0
174 76 2 1
148 29 3 0
175 76 2 1
149 29 3 0
176 76 2 1
150 29 3 0
151 29 3 0
152 29 3 0
153 29 3 0
154 29 3 0
155 29 3 0
156 29 3 0
157 29 3 0
158 29 3 0
159 29 3 0
160 29 3 0
114 40 3 0
115 40 3 0
116 40 3 0
117 40 3 0
118 40 3 0
119 40 3 0
193 105 2 1
120 40 3 0
194 105 2 1
121 40 3 0
195 105 2 1
122 40 3 0
196 105 2 1
123 40 3 0
197 105 2 1
124 40 3 0
198 105 2 1
125 40 3 0
199 105 2 1
126 40 3 0
200 105 2 1
127 40 3 0
201 105 2 1
128 40 3 0
202 105 2 1
129 40 3 0
130 40 3 0
131 40 3 0
132 40 3 0
133 40 3 0
134 40 3 0
