3153 481 321
154 23 3 0
155 23 3 0
200 54 2 1
156 23 3 0
201 54 2 1
157 23 3 0
202 54 2 1
248 85 3 0
158 23 3 0
203 54 2 1
249 85 3 0
159 23 3 0
204 54 2 1
250 85 3 0
160 23 3 0
205 54 2 1
251 85 3 0
161 23 3 0
206 54 2 1
252 85 3 0
162 23 3 0
163 23 3 0
164 23 3 0
165 23 3 0
166 23 3 0
167 23 3 0
168 23 3 0
169 23 3 0
170 23 3 0
171 23 3 0
197 124 2 1
172 23 3 0
198 124 2 1
173 23 3 0
199 124 2 1
174 23 3 0
200 124 2 1
175 23 3 0
201 124 2 1
176 23 3 0
202 124 2 1
177 23 3 0
203 124 2 1
178 23 3 0
179 23 3 0
180 23 3 0
181 23 3 0
182 23 3 0
183 23 3 0
184 23 3 0
185 23 3 0
192 194 2 1
186 23 3 0
193 194 2 1
187 23 3 0
194 194 2 1
188 23 3 0
195 194 2 1
189 23 3 0
196 194 2 1
190 23 3 0
197 194 2 1
191 23 3 0
198 194 2 1
192 23 3 0
199 194 2 1
193 23 3 0
129 62 3 0
194 23 3 0
130 62 3 0
195 23 3 0
131 62 3 0
196 23 3 0
132 62 3 0
197 23 3 0
133 62 3 0
198 23 3 0
134 62 3 0
199 23 3 0
135 62 3 0
245 54 3 0
200 23 3 0
246 54 3 0
201 23 3 0
247 54 3 0
202 23 3 0
248 54 3 0
203 23 3 0
249 54 3 0
204 23 3 0
250 54 3 0
205 23 3 0
251 54 3 0
206 23 3 0
252 54 3 0
207 23 3 0
208 23 3 0
209 23 3 0
210 23 3 0
211 23 3 0
212 23 3 0
213 23 3 0
214 23 3 0
215 23 3 0
216 23 3 0
217 23 3 0
218 23 3 0
219 23 3 0
220 23 3 0
221 23 3 0
222 23 3 0
223 23 3 0
224 23 3 0
205 93 2 1
225 23 3 0
206 93 2 1
226 23 3 0
207 93 2 1
227 23 3 0
208 93 2 1
228 23 3 0
209 93 2 1
229 23 3 0
210 93 2 1
230 23 3 0
211 93 2 1
231 23 3 0
212 93 2 1
232 23 3 0
233 23 3 0
234 23 3 0
235 23 3 0
236 23 3 0
198 163 2 1
237 23 3 0
199 163 2 1
238 23 3 0
200 163 2 1
239 23 3 0
201 163 2 1
240 23 3 0
202 163 2 1
241 23 3 0
203 163 2 1
204 163 2 1
137 31 3 0
138 31 3 0
139 31 3 0
140 31 3 0
141 31 3 0
142 31 3 0
143 31 3 0
144 31 3 0
145 31 3 0
146 31 3 0
200 62 2 1
201 62 2 1
202 62 2 1
203 62 2 1
204 62 2 1
205 62 2 1
206 62 2 1
197 132 2 1
198 132 2 1
199 132 2 1
200 132 2 1
201 132 2 1
202 132 2 1
203 132 2 1
191 202 2 1
192 202 2 1
193 202 2 1
194 202 2 1
195 202 2 1
196 202 2 1
197 202 2 1
129 70 3 0
130 70 3 0
131 70 3 0
132 70 3 0
133 70 3 0
134 70 3 0
135 70 3 0
247 62 3 0
248 62 3 0
249 62 3 0
250 62 3 0
251 62 3 0
252 62 3 0
253 62 3 0
202 101 2 1
203 101 2 1
204 101 2 1
205 101 2 1
206 101 2 1
207 101 2 1
208 101 2 1
198 171 2 1
199 171 2 1
238 31 3 0
200 171 2 1
239 31 3 0
201 171 2 1
240 31 3 0
202 171 2 1
241 31 3 0
132 39 3 0
203 171 2 1
242 31 3 0
133 39 3 0
204 171 2 1
243 31 3 0
134 39 3 0
244 31 3 0
135 39 3 0
136 39 3 0
137 39 3 0
138 39 3 0
139 39 3 0
140 39 3 0
201 70 2 1
202 70 2 1
203 70 2 1
204 70 2 1
205 70 2 1
206 70 2 1
207 70 2 1
197 140 2 1
198 140 2 1
199 140 2 1
200 140 2 1
201 140 2 1
202 140 2 1
203 140 2 1
191 210 2 1
192 210 2 1
193 210 2 1
194 210 2 1
195 210 2 1
196 210 2 1
197 210 2 1
198 210 2 1
199 210 2 1
129 78 3 0
200 210 2 1
130 78 3 0
201 210 2 1
131 78 3 0
202 210 2 1
132 78 3 0
203 210 2 1
133 78 3 0
204 210 2 1
134 78 3 0
135 78 3 0
247 70 3 0
248 70 3 0
249 70 3 0
250 70 3 0
251 70 3 0
252 70 3 0
253 70 3 0
199 109 2 1
200 109 2 1
201 109 2 1
202 109 2 1
203 109 2 1
204 109 2 1
205 109 2 1
196 179 2 1
197 179 2 1
198 179 2 1
199 179 2 1
129 47 3 0
200 179 2 1
130 47 3 0
201 179 2 1
240 39 3 0
131 47 3 0
202 179 2 1
241 39 3 0
132 47 3 0
242 39 3 0
133 47 3 0
243 39 3 0
134 47 3 0
244 39 3 0
135 47 3 0
245 39 3 0
246 39 3 0
202 78 2 1
203 78 2 1
204 78 2 1
205 78 2 1
206 78 2 1
207 78 2 1
208 78 2 1
171 47 2 1
172 47 2 1
198 148 2 1
173 47 2 1
199 148 2 1
174 47 2 1
200 148 2 1
175 47 2 1
201 148 2 1
176 47 2 1
202 148 2 1
177 47 2 1
203 148 2 1
178 47 2 1
204 148 2 1
179 47 2 1
180 47 2 1
181 47 2 1
182 47 2 1
183 47 2 1
184 47 2 1
185 47 2 1
129 86 3 0
130 86 3 0
131 86 3 0
195 47 2 1
132 86 3 0
196 47 2 1
133 86 3 0
197 47 2 1
134 86 3 0
198 47 2 1
135 86 3 0
206 218 2 1
199 47 2 1
207 218 2 1
200 47 2 1
201 47 2 1
247 78 3 0
202 47 2 1
248 78 3 0
203 47 2 1
249 78 3 0
204 47 2 1
250 78 3 0
205 47 2 1
251 78 3 0
252 78 3 0
253 78 3 0
199 117 2 1
200 117 2 1
201 117 2 1
202 117 2 1
203 117 2 1
204 117 2 1
205 117 2 1
194 187 2 1
195 187 2 1
196 187 2 1
197 187 2 1
198 187 2 1
199 187 2 1
129 55 3 0
200 187 2 1
130 55 3 0
131 55 3 0
132 55 3 0
133 55 3 0
243 47 3 0
134 55 3 0
244 47 3 0
135 55 3 0
245 47 3 0
246 47 3 0
247 47 3 0
248 47 3 0
249 47 3 0
203 86 2 1
204 86 2 1
205 86 2 1
206 86 2 1
207 86 2 1
208 86 2 1
209 86 2 1
210 86 2 1
211 86 2 1
212 86 2 1
213 86 2 1
214 86 2 1
215 86 2 1
198 156 2 1
199 156 2 1
200 156 2 1
201 156 2 1
202 156 2 1
203 156 2 1
204 156 2 1
144 24 3 0
145 24 3 0
146 24 3 0
147 24 3 0
148 24 3 0
149 24 3 0
150 24 3 0
151 24 3 0
152 24 3 0
153 24 3 0
154 24 3 0
155 24 3 0
200 55 2 1
156 24 3 0
201 55 2 1
157 24 3 0
202 55 2 1
248 86 3 0
158 24 3 0
203 55 2 1
249 86 3 0
159 24 3 0
204 55 2 1
250 86 3 0
160 24 3 0
205 55 2 1
251 86 3 0
161 24 3 0
206 55 2 1
252 86 3 0
162 24 3 0
163 24 3 0
164 24 3 0
165 24 3 0
166 24 3 0
167 24 3 0
168 24 3 0
169 24 3 0
170 24 3 0
171 24 3 0
197 125 2 1
172 24 3 0
198 125 2 1
173 24 3 0
199 125 2 1
174 24 3 0
200 125 2 1
175 24 3 0
201 125 2 1
176 24 3 0
202 125 2 1
177 24 3 0
203 125 2 1
178 24 3 0
179 24 3 0
180 24 3 0
181 24 3 0
182 24 3 0
183 24 3 0
184 24 3 0
185 24 3 0
192 195 2 1
186 24 3 0
193 195 2 1
187 24 3 0
194 195 2 1
188 24 3 0
195 195 2 1
189 24 3 0
196 195 2 1
190 24 3 0
197 195 2 1
191 24 3 0
198 195 2 1
192 24 3 0
193 24 3 0
129 63 3 0
194 24 3 0
130 63 3 0
195 24 3 0
131 63 3 0
196 24 3 0
132 63 3 0
197 24 3 0
133 63 3 0
198 24 3 0
134 63 3 0
199 24 3 0
135 63 3 0
200 24 3 0
246 55 3 0
201 24 3 0
247 55 3 0
202 24 3 0
248 55 3 0
203 24 3 0
249 55 3 0
204 24 3 0
250 55 3 0
205 24 3 0
251 55 3 0
206 24 3 0
252 55 3 0
207 24 3 0
208 24 3 0
209 24 3 0
210 24 3 0
211 24 3 0
212 24 3 0
213 24 3 0
214 24 3 0
215 24 3 0
216 24 3 0
217 24 3 0
218 24 3 0
219 24 3 0
205 94 2 1
206 94 2 1
207 94 2 1
227 24 3 0
208 94 2 1
228 24 3 0
209 94 2 1
229 24 3 0
210 94 2 1
230 24 3 0
211 94 2 1
231 24 3 0
232 24 3 0
233 24 3 0
234 24 3 0
235 24 3 0
236 24 3 0
198 164 2 1
237 24 3 0
199 164 2 1
238 24 3 0
200 164 2 1
239 24 3 0
201 164 2 1
240 24 3 0
202 164 2 1
241 24 3 0
203 164 2 1
242 24 3 0
204 164 2 1
243 24 3 0
137 32 3 0
138 32 3 0
139 32 3 0
140 32 3 0
141 32 3 0
142 32 3 0
143 32 3 0
144 32 3 0
145 32 3 0
200 63 2 1
201 63 2 1
202 63 2 1
