1679 481 321
230 14 3 0
231 14 3 0
232 14 3 0
233 14 3 0
234 14 3 0
235 14 3 0
236 14 3 0
237 14 3 0
238 14 3 0
133 159 2 1
239 14 3 0
134 159 2 1
135 159 2 1
136 159 2 1
137 159 2 1
138 159 2 1
139 159 2 1
140 159 2 1
162 130 2 1
141 159 2 1
163 130 2 1
142 159 2 1
164 130 2 1
143 159 2 1
165 130 2 1
144 159 2 1
166 130 2 1
145 159 2 1
188 101 2 1
167 130 2 1
146 159 2 1
189 101 2 1
168 130 2 1
190 101 2 1
191 101 2 1
192 101 2 1
193 101 2 1
194 101 2 1
195 101 2 1
196 101 2 1
197 101 2 1
198 101 2 1
199 101 2 1
200 101 2 1
201 101 2 1
202 101 2 1
203 101 2 1
204 101 2 1
205 101 2 1
206 101 2 1
207 101 2 1
208 101 2 1
209 101 2 1
210 101 2 1
211 101 2 1
173 112 2 1
174 112 2 1
175 112 2 1
154 141 2 1
176 112 2 1
155 141 2 1
177 112 2 1
156 141 2 1
178 112 2 1
157 141 2 1
179 112 2 1
158 141 2 1
180 112 2 1
159 141 2 1
181 112 2 1
160 141 2 1
182 112 2 1
161 141 2 1
183 112 2 1
162 141 2 1
184 112 2 1
163 141 2 1
164 123 2 1
165 123 2 1
144 152 2 1
166 123 2 1
145 152 2 1
167 123 2 1
146 152 2 1
168 123 2 1
147 152 2 1
169 123 2 1
148 152 2 1
170 123 2 1
149 152 2 1
171 123 2 1
150 152 2 1
172 123 2 1
151 152 2 1
173 123 2 1
152 152 2 1
153 152 2 1
214 18 3 0
215 18 3 0
216 18 3 0
217 18 3 0
218 18 3 0
219 18 3 0
220 18 3 0
221 18 3 0
222 18 3 0
223 18 3 0
224 18 3 0
225 18 3 0
226 18 3 0
227 18 3 0
228 18 3 0
229 18 3 0
230 18 3 0
231 18 3 0
232 18 3 0
233 18 3 0
234 18 3 0
235 18 3 0
236 18 3 0
131 163 2 1
237 18 3 0
132 163 2 1
238 18 3 0
133 163 2 1
239 18 3 0
134 163 2 1
240 18 3 0
135 163 2 1
241 18 3 0
136 163 2 1
242 18 3 0
137 163 2 1
243 18 3 0
138 163 2 1
244 18 3 0
181 105 2 1
139 163 2 1
245 18 3 0
182 105 2 1
161 134 2 1
140 163 2 1
246 18 3 0
183 105 2 1
162 134 2 1
247 18 3 0
184 105 2 1
163 134 2 1
248 18 3 0
185 105 2 1
164 134 2 1
249 18 3 0
186 105 2 1
165 134 2 1
250 18 3 0
187 105 2 1
166 134 2 1
251 18 3 0
188 105 2 1
167 134 2 1
252 18 3 0
189 105 2 1
168 134 2 1
253 18 3 0
190 105 2 1
254 18 3 0
191 105 2 1
255 18 3 0
192 105 2 1
256 18 3 0
193 105 2 1
257 18 3 0
194 105 2 1
258 18 3 0
259 18 3 0
260 18 3 0
261 18 3 0
262 18 3 0
263 18 3 0
264 18 3 0
265 18 3 0
266 18 3 0
267 18 3 0
268 18 3 0
269 18 3 0
270 18 3 0
271 18 3 0
208 105 2 1
272 18 3 0
209 105 2 1
273 18 3 0
274 18 3 0
275 18 3 0
276 18 3 0
277 18 3 0
278 18 3 0
279 18 3 0
280 18 3 0
281 18 3 0
282 18 3 0
283 18 3 0
284 18 3 0
285 18 3 0
286 18 3 0
287 18 3 0
288 18 3 0
289 18 3 0
290 18 3 0
175 11 3 0
291 18 3 0
176 11 3 0
292 18 3 0
177 11 3 0
293 18 3 0
178 11 3 0
294 18 3 0
179 11 3 0
295 18 3 0
180 11 3 0
296 18 3 0
181 11 3 0
297 18 3 0
182 11 3 0
298 18 3 0
183 11 3 0
299 18 3 0
184 11 3 0
300 18 3 0
185 11 3 0
301 18 3 0
186 11 3 0
170 116 2 1
302 18 3 0
187 11 3 0
171 116 2 1
303 18 3 0
188 11 3 0
151 145 2 1
172 116 2 1
304 18 3 0
189 11 3 0
152 145 2 1
173 116 2 1
305 18 3 0
190 11 3 0
153 145 2 1
174 116 2 1
191 11 3 0
154 145 2 1
175 116 2 1
192 11 3 0
155 145 2 1
176 116 2 1
193 11 3 0
156 145 2 1
177 116 2 1
194 11 3 0
157 145 2 1
178 116 2 1
195 11 3 0
158 145 2 1
196 11 3 0
159 145 2 1
197 11 3 0
198 11 3 0
199 11 3 0
200 11 3 0
201 11 3 0
202 11 3 0
203 11 3 0
204 11 3 0
205 11 3 0
206 11 3 0
207 11 3 0
208 11 3 0
209 11 3 0
210 11 3 0
211 11 3 0
212 11 3 0
213 11 3 0
140 156 2 1
162 127 2 1
141 156 2 1
163 127 2 1
142 156 2 1
164 127 2 1
143 156 2 1
165 127 2 1
144 156 2 1
166 127 2 1
145 156 2 1
167 127 2 1
146 156 2 1
168 127 2 1
147 156 2 1
169 127 2 1
148 156 2 1
194 98 2 1
195 98 2 1
196 98 2 1
197 98 2 1
198 98 2 1
199 98 2 1
200 98 2 1
201 98 2 1
202 98 2 1
203 98 2 1
204 98 2 1
205 98 2 1
206 98 2 1
207 98 2 1
208 98 2 1
176 109 2 1
177 109 2 1
178 109 2 1
157 138 2 1
179 109 2 1
158 138 2 1
180 109 2 1
159 138 2 1
181 109 2 1
160 138 2 1
182 109 2 1
161 138 2 1
183 109 2 1
162 138 2 1
184 109 2 1
163 138 2 1
185 109 2 1
164 138 2 1
186 109 2 1
165 138 2 1
187 109 2 1
166 138 2 1
177 15 3 0
178 15 3 0
179 15 3 0
180 15 3 0
181 15 3 0
182 15 3 0
183 15 3 0
167 120 2 1
184 15 3 0
168 120 2 1
147 149 2 1
185 15 3 0
169 120 2 1
148 149 2 1
186 15 3 0
170 120 2 1
149 149 2 1
187 15 3 0
171 120 2 1
150 149 2 1
188 15 3 0
172 120 2 1
151 149 2 1
189 15 3 0
173 120 2 1
152 149 2 1
190 15 3 0
174 120 2 1
153 149 2 1
191 15 3 0
175 120 2 1
154 149 2 1
192 15 3 0
155 149 2 1
193 15 3 0
156 149 2 1
194 15 3 0
195 15 3 0
196 15 3 0
197 15 3 0
198 15 3 0
199 15 3 0
200 15 3 0
201 15 3 0
202 15 3 0
203 15 3 0
204 15 3 0
205 15 3 0
206 15 3 0
207 15 3 0
208 15 3 0
209 15 3 0
210 15 3 0
211 15 3 0
212 15 3 0
213 15 3 0
214 15 3 0
215 15 3 0
216 15 3 0
217 15 3 0
218 15 3 0
219 15 3 0
