2149 481 321
33 272 12 1
270 186 6 0
271 186 6 0
272 186 6 0
273 186 6 0
274 186 6 0
275 186 6 0
276 186 6 0
277 186 6 0
278 186 6 0
165 23 7 0
166 23 7 0
167 23 7 0
168 23 7 0
169 23 7 0
170 23 7 0
171 23 7 0
172 23 7 0
173 23 7 0
174 23 7 0
175 23 7 0
393 77 2 1
394 77 2 1
395 77 2 1
396 77 2 1
397 77 2 1
398 77 2 1
399 77 2 1
400 77 2 1
401 77 2 1
402 77 2 1
403 77 2 1
404 77 2 1
405 77 2 1
214 93 6 1
215 93 6 1
216 93 6 1
217 93 6 1
218 93 6 1
219 93 6 1
220 93 6 1
221 93 6 1
222 93 6 1
223 93 6 1
224 93 6 1
225 93 6 1
226 93 6 1
227 93 6 1
228 93 6 1
229 93 6 1
230 93 6 1
231 93 6 1
232 93 6 1
233 93 6 1
234 93 6 1
235 93 6 1
236 93 6 1
237 93 6 1
27 280 12 1
238 93 6 1
28 280 12 1
239 93 6 1
29 280 12 1
240 93 6 1
30 280 12 1
241 93 6 1
31 280 12 1
242 93 6 1
152 31 7 0
32 280 12 1
243 93 6 1
153 31 7 0
33 280 12 1
244 93 6 1
154 31 7 0
245 93 6 1
155 31 7 0
246 93 6 1
156 31 7 0
247 93 6 1
157 31 7 0
248 93 6 1
158 31 7 0
249 93 6 1
159 31 7 0
250 93 6 1
160 31 7 0
251 93 6 1
161 31 7 0
252 93 6 1
162 31 7 0
253 93 6 1
163 31 7 0
254 93 6 1
164 31 7 0
255 93 6 1
256 93 6 1
257 93 6 1
258 93 6 1
259 93 6 1
260 93 6 1
261 93 6 1
262 93 6 1
263 93 6 1
264 93 6 1
265 93 6 1
266 93 6 1
267 93 6 1
268 93 6 1
269 93 6 1
270 93 6 1
271 93 6 1
272 93 6 1
273 93 6 1
274 93 6 1
275 93 6 1
276 93 6 1
277 93 6 1
278 93 6 1
279 93 6 1
280 93 6 1
403 85 2 1
404 85 2 1
405 85 2 1
406 85 2 1
407 85 2 1
408 85 2 1
409 85 2 1
410 85 2 1
131 140 11 0
132 140 11 0
133 140 11 0
134 140 11 0
135 140 11 0
136 140 11 0
137 140 11 0
137 39 7 0
138 39 7 0
139 39 7 0
140 39 7 0
141 39 7 0
142 39 7 0
143 39 7 0
144 39 7 0
145 39 7 0
146 39 7 0
147 39 7 0
148 39 7 0
149 39 7 0
150 39 7 0
406 93 2 1
407 93 2 1
408 93 2 1
409 93 2 1
410 93 2 1
411 93 2 1
412 93 2 1
116 47 7 0
117 47 7 0
118 47 7 0
119 47 7 0
120 47 7 0
121 47 7 0
122 47 7 0
123 47 7 0
124 47 7 0
125 47 7 0
126 47 7 0
127 47 7 0
128 47 7 0
129 47 7 0
130 47 7 0
131 47 7 0
132 47 7 0
133 47 7 0
134 47 7 0
135 47 7 0
71 156 9 0
72 156 9 0
73 156 9 0
74 156 9 0
75 156 9 0
76 156 9 0
77 156 9 0
78 156 9 0
79 156 9 0
125 187 10 0
126 187 10 0
127 187 10 0
128 187 10 0
129 187 10 0
130 187 10 0
131 187 10 0
244 179 6 0
245 179 6 0
76 226 7 0
77 226 7 0
78 226 7 0
79 226 7 0
80 226 7 0
28 265 12 1
29 265 12 1
30 265 12 1
31 265 12 1
32 265 12 1
408 101 2 1
409 101 2 1
410 101 2 1
65 195 8 1
411 101 2 1
66 195 8 1
412 101 2 1
67 195 8 1
68 195 8 1
69 195 8 1
70 195 8 1
71 195 8 1
188 86 6 1
189 86 6 1
190 86 6 1
191 86 6 1
192 86 6 1
193 86 6 1
194 86 6 1
195 86 6 1
196 86 6 1
197 86 6 1
198 86 6 1
199 86 6 1
200 86 6 1
201 86 6 1
202 86 6 1
203 86 6 1
204 86 6 1
122 195 10 0
205 86 6 1
123 195 10 0
206 86 6 1
124 195 10 0
207 86 6 1
125 195 10 0
208 86 6 1
126 195 10 0
209 86 6 1
210 86 6 1
211 86 6 1
212 86 6 1
213 86 6 1
249 187 6 0
250 187 6 0
251 187 6 0
252 187 6 0
253 187 6 0
254 187 6 0
255 187 6 0
256 187 6 0
83 234 7 0
257 187 6 0
84 234 7 0
258 187 6 0
85 234 7 0
259 187 6 0
86 234 7 0
260 187 6 0
87 234 7 0
261 187 6 0
88 234 7 0
262 187 6 0
89 234 7 0
263 187 6 0
90 234 7 0
27 273 12 1
264 187 6 0
91 234 7 0
28 273 12 1
265 187 6 0
92 234 7 0
29 273 12 1
266 187 6 0
93 234 7 0
30 273 12 1
267 187 6 0
94 234 7 0
31 273 12 1
268 187 6 0
32 273 12 1
269 187 6 0
33 273 12 1
270 187 6 0
271 187 6 0
272 187 6 0
273 187 6 0
274 187 6 0
275 187 6 0
276 187 6 0
277 187 6 0
278 187 6 0
279 187 6 0
163 24 7 0
280 187 6 0
164 24 7 0
281 187 6 0
165 24 7 0
282 187 6 0
166 24 7 0
283 187 6 0
167 24 7 0
284 187 6 0
168 24 7 0
169 24 7 0
170 24 7 0
171 24 7 0
172 24 7 0
173 24 7 0
174 24 7 0
394 78 2 1
395 78 2 1
396 78 2 1
397 78 2 1
398 78 2 1
399 78 2 1
400 78 2 1
401 78 2 1
402 78 2 1
403 78 2 1
404 78 2 1
405 78 2 1
406 78 2 1
226 94 6 1
227 94 6 1
228 94 6 1
229 94 6 1
230 94 6 1
231 94 6 1
232 94 6 1
233 94 6 1
234 94 6 1
235 94 6 1
236 94 6 1
237 94 6 1
27 281 12 1
238 94 6 1
28 281 12 1
149 32 7 0
239 94 6 1
29 281 12 1
150 32 7 0
240 94 6 1
30 281 12 1
151 32 7 0
241 94 6 1
31 281 12 1
152 32 7 0
242 94 6 1
32 281 12 1
153 32 7 0
243 94 6 1
33 281 12 1
154 32 7 0
244 94 6 1
155 32 7 0
245 94 6 1
156 32 7 0
246 94 6 1
157 32 7 0
247 94 6 1
158 32 7 0
248 94 6 1
159 32 7 0
249 94 6 1
160 32 7 0
250 94 6 1
161 32 7 0
251 94 6 1
162 32 7 0
252 94 6 1
163 32 7 0
253 94 6 1
164 32 7 0
254 94 6 1
255 94 6 1
256 94 6 1
257 94 6 1
258 94 6 1
259 94 6 1
260 94 6 1
261 94 6 1
262 94 6 1
263 94 6 1
264 94 6 1
265 94 6 1
266 94 6 1
267 94 6 1
268 94 6 1
269 94 6 1
270 94 6 1
271 94 6 1
272 94 6 1
273 94 6 1
274 94 6 1
275 94 6 1
276 94 6 1
277 94 6 1
278 94 6 1
404 86 2 1
405 86 2 1
406 86 2 1
407 86 2 1
408 86 2 1
409 86 2 1
410 86 2 1
132 141 11 0
133 141 11 0
134 141 11 0
135 141 11 0
136 141 11 0
135 40 7 0
136 40 7 0
137 40 7 0
138 40 7 0
139 40 7 0
140 40 7 0
141 40 7 0
142 40 7 0
143 40 7 0
144 40 7 0
145 40 7 0
146 40 7 0
147 40 7 0
148 40 7 0
149 40 7 0
407 94 2 1
408 94 2 1
409 94 2 1
410 94 2 1
411 94 2 1
412 94 2 1
413 94 2 1
114 48 7 0
115 48 7 0
116 48 7 0
117 48 7 0
118 48 7 0
119 48 7 0
120 48 7 0
121 48 7 0
122 48 7 0
123 48 7 0
124 48 7 0
125 48 7 0
126 48 7 0
127 48 7 0
128 48 7 0
129 48 7 0
130 48 7 0
131 48 7 0
132 48 7 0
133 48 7 0
71 157 9 0
72 157 9 0
73 157 9 0
74 157 9 0
75 157 9 0
76 157 9 0
77 157 9 0
78 157 9 0
124 188 10 0
79 157 9 0
125 188 10 0
126 188 10 0
127 188 10 0
128 188 10 0
129 188 10 0
130 188 10 0
131 188 10 0
132 188 10 0
242 180 6 0
243 180 6 0
244 180 6 0
245 180 6 0
246 180 6 0
247 180 6 0
248 180 6 0
76 227 7 0
77 227 7 0
78 227 7 0
79 227 7 0
80 227 7 0
81 227 7 0
82 227 7 0
83 227 7 0
27 266 12 1
28 266 12 1
29 266 12 1
30 266 12 1
31 266 12 1
32 266 12 1
33 266 12 1
408 102 2 1
409 102 2 1
64 196 8 1
410 102 2 1
65 196 8 1
411 102 2 1
66 196 8 1
412 102 2 1
67 196 8 1
68 196 8 1
69 196 8 1
70 196 8 1
71 196 8 1
188 87 6 1
189 87 6 1
190 87 6 1
191 87 6 1
192 87 6 1
193 87 6 1
194 87 6 1
195 87 6 1
196 87 6 1
197 87 6 1
198 87 6 1
199 87 6 1
200 87 6 1
201 87 6 1
202 87 6 1
203 87 6 1
204 87 6 1
205 87 6 1
206 87 6 1
124 196 10 0
207 87 6 1
208 87 6 1
209 87 6 1
210 87 6 1
211 87 6 1
212 87 6 1
213 87 6 1
214 87 6 1
215 87 6 1
216 87 6 1
217 87 6 1
218 87 6 1
219 87 6 1
220 87 6 1
221 87 6 1
222 87 6 1
223 87 6 1
224 87 6 1
250 188 6 0
225 87 6 1
251 188 6 0
252 188 6 0
253 188 6 0
254 188 6 0
255 188 6 0
256 188 6 0
84 235 7 0
257 188 6 0
85 235 7 0
258 188 6 0
86 235 7 0
259 188 6 0
87 235 7 0
260 188 6 0
88 235 7 0
261 188 6 0
89 235 7 0
262 188 6 0
90 235 7 0
263 188 6 0
27 274 12 1
91 235 7 0
264 188 6 0
28 274 12 1
92 235 7 0
265 188 6 0
29 274 12 1
93 235 7 0
266 188 6 0
30 274 12 1
267 188 6 0
31 274 12 1
268 188 6 0
32 274 12 1
269 188 6 0
33 274 12 1
270 188 6 0
271 188 6 0
272 188 6 0
273 188 6 0
274 188 6 0
275 188 6 0
276 188 6 0
161 25 7 0
277 188 6 0
278 188 6 0
162 25 7 0
279 188 6 0
163 25 7 0
280 188 6 0
164 25 7 0
281 188 6 0
165 25 7 0
282 188 6 0
166 25 7 0
283 188 6 0
